@timestamp,@logStream,@duration,@initDuration,@maxMemoryUsed
2026-05-28 12:30:29.080,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.78,,86000000
2026-05-28 12:30:29.084,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.57,,85000000
2026-05-28 12:30:29.093,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,2.08,,86000000
2026-05-28 12:30:29.093,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.87,,86000000
2026-05-28 12:30:29.097,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.89,,86000000
2026-05-28 12:30:29.098,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,11.07,,86000000
2026-05-28 12:30:29.100,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.61,,85000000
2026-05-28 12:30:29.101,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,2.19,,85000000
2026-05-28 12:30:29.102,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.64,,86000000
2026-05-28 12:30:29.103,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,2.02,,85000000
2026-05-28 12:30:29.104,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.96,,85000000
2026-05-28 12:30:29.109,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,9.01,,86000000
2026-05-28 12:30:29.112,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,6.82,,86000000
2026-05-28 12:30:29.118,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.69,,86000000
2026-05-28 12:30:29.122,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.71,,85000000
2026-05-28 12:30:29.133,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.75,,85000000
2026-05-28 12:30:29.135,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.92,,86000000
2026-05-28 12:30:29.142,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.47,,85000000
2026-05-28 12:30:29.149,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.78,,86000000
2026-05-28 12:30:29.151,2026/05/28/[$LATEST]4f6d928700b0454089f4d3ba5806fd95,1.77,,85000000
2026-05-28 12:30:29.153,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.61,,85000000
2026-05-28 12:30:29.161,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.51,,85000000
2026-05-28 12:30:29.161,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.69,,86000000
2026-05-28 12:30:29.176,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.19,,86000000
2026-05-28 12:30:29.179,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,10.37,,86000000
2026-05-28 12:30:29.192,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.65,,85000000
2026-05-28 12:30:29.205,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,2.17,,86000000
2026-05-28 12:30:29.211,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.52,,85000000
2026-05-28 12:30:29.227,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.84,,86000000
2026-05-28 12:30:29.231,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.7,,85000000
2026-05-28 12:30:29.234,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.04,,86000000
2026-05-28 12:30:29.249,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,7.54,,86000000
2026-05-28 12:30:29.253,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.77,,86000000
2026-05-28 12:30:29.253,2026/05/28/[$LATEST]7de6c63704704001920746bd5ec85dd3,1.59,,85000000
2026-05-28 12:30:29.258,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.72,,85000000
2026-05-28 12:30:29.266,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.8,,86000000
2026-05-28 12:30:29.273,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,6.66,,85000000
2026-05-28 12:30:29.285,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.96,,86000000
2026-05-28 12:30:29.295,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.76,,86000000
2026-05-28 12:30:29.299,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,6.79,,86000000
2026-05-28 12:30:29.312,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,1.85,,85000000
